code,description
-10,Non-responding person
-7,Not able to be determined
-4,Refused/Not stated
-3,Dont know
-1,Not asked
110,Armed forces
1000,"Legislators, senior officials and managers"
1110,Legislators
1120,Senior government officials
1210,Directors and chief executives
1222,Department managers manufacturing
1229,Prod'n and operat'ions department managers n.e.c.
1231,Finance and administration department managers
1232,Personnel and industrial relations department managers
1234,Advertising and public relations department managers
1235,Supply and distribution department managers
1236,Computing services department managers
1237,Research and development department managers
1239,Other department managers n.e.c.
1312,General managers in manufacturing
1313,General managers in construction
1314,General managers in wholesale and retail trade
1315,General managers of restaurants and hotels
1316,"General managers in transport, storage and communications"
1317,General managers of business services
1319,General managers n.e.c.
2000,Professionals
2114,Geologists and geophysicists
2121,Mathematicians and related professionals
2131,Computer systems designers and analysts
2132,Computer programmers
2139,Computing professionals n.e.c.
2141,"Architects, town and traffic planners"
2142,Civil engineers
2143,Electrical engineers
2144,Electronics and telecommunications engineers
2147,"Mining engineers, metallurgists and related professionals"
2148,Cartographers and surveyors
2149,"Architects, engineers and related professionals n.e.c."
2211,Biologists botanists zoologists and related professionals
2212,"Pharmacologists, pathologists and related professionals"
2221,Medical doctors
2222,Dentists
2223,Veterinarians
2224,Pharmacists
2230,Nursing and midwifery professionals
2310,College university and higher education teaching professionals
2320,Secondary education teaching professionals
2331,Primary education teaching professionals
2332,Pre-primary education teaching professionals
2340,Special education teaching professionals
2352,School inspectors
2359,Other teaching professionals n.e.c.
2411,Accountants
2412,Personnel and careers professionals
2419,Business professionals n.e.c.
2421,Lawyers
2429,Legal professionals n.e.c.
2432,Librarians and related information professionals
2441,Economists
2444,"Philologists, translators and interpreters"
2445,Psychologists
2446,Social work professionals
2450,Writers and creative or performing artists
2451,"Authors, journalists and other writers"
2452,"Sculptors, painters and related artists"
2453,"Composers, musicians and singers"
2454,Choreographers and dancers
2455,"Film, stage and related actors and directors"
3000,Technicians and associate professionals
3110,Physical and engineering science technicians
3111,Chemical and physical science technicians
3114,Electronics and telecommunications engineering technicians
3118,Draughtspersons
3119,Physical and engineering science technicians n.e.c.
3121,Computer assistants
3131,Photographers and image and sound recording equipment operators
3133,Medical equipment operators
3142,Ships' deck officers and pilots
3143,Aircraft pilots and related associate professionals
3145,Air traffic safety technicians
3151,Building and fire inspectors
3152,"Safety, health and quality inspectors"
3212,Agronomy and forestry technicians
3221,Medical assistants
3223,Dieticians and nutritionists
3225,Dental assistants
3226,Physiotherapists and related associate professionals
3229,Modern health associate professionals (exc nurses) n.e.c.
3232,Midwifery associate professionals
3241,Traditional medicine practitioners
3310,Primary education teaching associate professionals
3340,Other teaching associate professionals
