code,description
-10,Non-responding person
-7,Not able to be determined
-4,Refused/Not stated
-3,Dont know
-1,Not asked
1000,Managers - NFI
1100,"Chief Executives, General Managers and Legislators"
1111,Chief Executives and Managing Directors
1112,General Managers
1113,Legislators
1210,Farmers and Farm Managers
1211,Aquaculture Farmers
1212,Crop Farmers
1213,Livestock Farmers
1214,Mixed Crop and Livestock Farmers
1300,Specialist Managers
1311,"Advertising, Public Relations and Sales Managers"
1320,Business Administration Managers
1321,Corporate Services Managers
1322,Finance Managers
1323,Human Resource Managers
1324,Policy and Planning Managers
1325,Research and Development Managers
1330,"Construction, Distribution and Production Managers"
1331,Construction Managers
1332,Engineering Managers
1333,"Importers, Exporters and Wholesalers"
1334,Manufacturers
1335,Production Managers
1336,Supply and Distribution Managers
1340,"Education, Health and Welfare Services Managers"
1341,Child Care Centre Managers
1342,Health and Welfare Services Managers
1343,School Principals
1344,Other Education Managers
1351,ICT Managers
1390,Miscellaneous Specialist Managers
1391,Commissioned Officers (Management)
1392,Senior Non-commissioned Defence Force Members
1399,Other Specialist Managers
1400,"Hospitality, Retail and Service Managers"
1410,Accommodation and Hospitality Managers
1411,Cafe and Restaurant Managers
1412,Caravan Park and Camping Ground Managers
1413,Hotel and Motel Managers
1414,Licensed Club Managers
1419,Other Accommodation and Hospitality Managers
1421,Retail Managers
1490,"Miscellaneous Hospitality, Retail and Service Managers"
1491,"Amusement, Fitness and Sports Centre Managers"
1492,Call or Contact Centre and Customer Service Managers
1493,Conference and Event Organisers
1494,Transport Services Managers
1499,"Other Hospitality, Retail and Service Managers"
2000,Professionals
2100,Arts and Media Professionals
2110,Arts Professionals
2111,"Actors, Dancers and Other Entertainers"
2112,Music Professionals
2113,Photographers
2114,Visual Arts and Crafts Professionals
2120,Media Professionals
2121,"Artistic Directors, and Media Producers and Presenters"
2122,"Authors, and Book and Script Editors"
2123,"Film, Television, Radio and Stage Directors"
2124,Journalists and Other Writers
2200,"Business, Human Resource and Marketing Professionals"
2210,"Accountants, Auditors and Company Secretaries"
2211,Accountants
2212,"Auditors, Company Secretaries and Corporate Treasurers"
2220,"Financial Brokers and Dealers, and Investment Advisers"
2221,Financial Brokers
2222,Financial Dealers
2223,Financial Investment Advisers and Managers
2230,Human Resource and Training Professionals
2231,Human Resource Professionals
2232,ICT Trainers
2233,Training and Development Professionals
2240,Information and Organisation Professionals
2241,"Actuaries, Mathematicians and Statisticians"
2242,"Archivists, Curators and Records Managers"
2243,Economists
2244,Intelligence and Policy Analysts
2245,Land Economists and Valuers
2246,Librarians
2247,Management and Organisation Analysts
2249,Other Information and Organisation Professionals
